Data as of,Start week,End Week,State,Sex,Age group,COVID19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,Under 1 year,0,28,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,1-4 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,5-14 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,15-24 years,0,31,,0,,
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,18-29 years,0,47,,0,,
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,25-34 years,0,64,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,30-49 years,,198,,,0,
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,35-44 years,,94,,,0,
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,45-54 years,,177,12,,0,14
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,50-64 years,14,571,39,,,51
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,55-64 years,12,463,32,,,43
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,65-74 years,33,768,55,15,,75
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,75-84 years,41,"1,125",50,13,,79
9/16/2020,2/1/2020,9/12/2020,Idaho,Female,85 years and over,80,"1,648",80,23,,143
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,Under 1 year,,223,,,0,
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,1-4 years,0,44,0,0,,
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,5-14 years,,69,,,0,
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,15-24 years,,657,,,0,13
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,18-29 years,23,"1,149",21,,,39
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,25-34 years,44,"1,183",35,13,,68
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,30-49 years,281,"3,258",194,118,,361
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,35-44 years,128,"1,556",90,51,,170
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,45-54 years,309,"2,723",242,146,,408
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,50-64 years,803,"7,813",737,407,17,"1,150"
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,55-64 years,617,"6,206",580,320,15,892
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,65-74 years,1029,"8,589","1,016",555,15,"1,505"
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,75-84 years,1061,"9,088","1,143",563,19,"1,660"
9/16/2020,2/1/2020,9/12/2020,Illinois,Male,85 years and over,871,"8,832","1,002",420,14,"1,466"
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,Under 1 year,,174,,0,0,
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,1-4 years,0,29,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,5-14 years,0,47,,0,,
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,15-24 years,,211,,,,10
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,18-29 years,12,366,12,,,21
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,25-34 years,20,415,23,,,35
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,30-49 years,108,"1,561",119,52,,179
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,35-44 years,51,736,55,24,,86
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,45-54 years,125,"1,504",134,62,,199
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,50-64 years,410,"4,692",465,215,18,678
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,55-64 years,327,"3,781",381,175,16,549
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,65-74 years,573,"6,178",642,305,15,924
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,75-84 years,820,"8,785",944,403,27,"1,387"
9/16/2020,2/1/2020,9/12/2020,Illinois,Female,85 years and over,1454,"14,996","1,383",602,39,"2,274"
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,Under 1 year,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Illinois,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,Under 1 year,0,136,,0,0,
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,1-4 years,,18,0,0,0,
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,5-14 years,0,53,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,15-24 years,,350,,0,0,
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,18-29 years,,633,10,,0,11
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,25-34 years,10,707,19,,0,23
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,30-49 years,50,"1,786",85,23,,119
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,35-44 years,17,797,38,,,48
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,45-54 years,61,"1,497",97,26,,139
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,50-64 years,237,"4,435",361,115,13,495
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,55-64 years,202,"3,548",299,99,11,412
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,65-74 years,444,"5,152",550,217,13,790
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,75-84 years,481,"5,505",651,221,16,926
9/16/2020,2/1/2020,9/12/2020,Indiana,Male,85 years and over,463,"4,760",513,198,12,790
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,Under 1 year,0,125,,0,0,
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,1-4 years,0,18,0,0,,
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,5-14 years,0,33,0,0,,
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,15-24 years,,104,,0,0,
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,18-29 years,,214,,,0,
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,25-34 years,,283,,,,11
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,30-49 years,32,962,57,18,,73
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,35-44 years,16,417,23,,0,30
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,45-54 years,42,949,76,22,,101
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,50-64 years,146,"2,981",276,75,16,363
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,55-64 years,120,"2,419",229,62,12,299
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,65-74 years,276,"3,845",386,124,13,551
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,75-84 years,475,"5,359",533,194,15,828
9/16/2020,2/1/2020,9/12/2020,Indiana,Female,85 years and over,729,"8,034",616,207,24,"1,161"
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Indiana,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,Under 1 year,0,44,,0,,
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,1-4 years,0,12,,0,,
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,5-14 years,0,19,,0,0,
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,15-24 years,0,121,0,0,,
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,18-29 years,,189,,0,,
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,25-34 years,,203,,,0,
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,30-49 years,21,589,20,,0,33
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,35-44 years,11,265,,,0,16
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,45-54 years,30,552,32,15,,48
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,50-64 years,115,"1,734",123,45,,197
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,55-64 years,92,"1,395",99,33,,161
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,65-74 years,141,"2,152",166,44,,272
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,75-84 years,161,"2,448",200,46,,324
9/16/2020,2/1/2020,9/12/2020,Iowa,Male,85 years and over,186,"2,691",206,45,,355
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,Under 1 year,,39,,0,0,
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,1-4 years,,,0,0,0,
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,5-14 years,0,,,0,0,
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,15-24 years,,34,,,0,
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,18-29 years,,60,,,0,
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,25-34 years,,85,,,,
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,30-49 years,12,302,12,,,20
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,35-44 years,,140,,0,0,
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,45-54 years,12,305,18,,,24
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,50-64 years,67,"1,068",76,28,,120
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,55-64 years,59,873,62,23,,102
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,65-74 years,94,"1,543",109,29,12,186
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,75-84 years,137,"2,251",175,42,12,282
9/16/2020,2/1/2020,9/12/2020,Iowa,Female,85 years and over,242,"4,340",268,52,21,479
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,Under 1 year,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Iowa,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,Under 1 year,0,68,,0,0,
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,1-4 years,0,,,0,0,
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,5-14 years,0,16,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,15-24 years,,162,,0,0,
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,18-29 years,,260,,,,
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,25-34 years,,251,,,,10
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,30-49 years,20,650,26,,,42
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,35-44 years,,300,12,,,17
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,45-54 years,21,544,20,,,36
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,50-64 years,66,"1,624",91,30,,136
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,55-64 years,56,"1,300",80,27,,118
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,65-74 years,75,"1,904",149,34,,199
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,75-84 years,90,"2,104",151,38,13,216
9/16/2020,2/1/2020,9/12/2020,Kansas,Male,85 years and over,74,"2,187",182,33,,230
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,Under 1 year,0,45,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,1-4 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,5-14 years,0,12,,0,0,
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,15-24 years,,49,,0,0,
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,18-29 years,,68,,0,0,
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,25-34 years,,91,,0,,
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,30-49 years,,365,12,,,23
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,35-44 years,,176,,,0,10
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,45-54 years,,327,15,,,23
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,50-64 years,30,"1,054",71,14,,93
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,55-64 years,27,854,60,13,,80
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,65-74 years,42,"1,394",95,16,,130
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,75-84 years,54,"1,878",117,27,15,159
9/16/2020,2/1/2020,9/12/2020,Kansas,Female,85 years and over,112,"3,326",214,39,13,300
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,Under 1 year,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kansas,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,Under 1 year,0,72,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,1-4 years,0,19,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,5-14 years,0,29,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,15-24 years,0,254,,0,0,
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,18-29 years,0,416,,0,0,
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,25-34 years,,498,11,,,13
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,30-49 years,26,"1,580",75,13,,92
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,35-44 years,16,806,37,10,,44
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,45-54 years,24,"1,215",75,10,,94
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,50-64 years,81,"3,509",266,39,11,319
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,55-64 years,65,"2,783",221,31,,263
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,65-74 years,150,"3,636",374,77,12,459
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,75-84 years,118,"3,565",405,63,11,471
9/16/2020,2/1/2020,9/12/2020,Kentucky,Male,85 years and over,101,"2,626",290,51,11,351
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,Under 1 year,0,69,,0,0,
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,1-4 years,0,11,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,5-14 years,0,22,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,15-24 years,0,91,0,0,,
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,18-29 years,0,177,,0,,
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,25-34 years,,220,,,,
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,30-49 years,,823,50,,,60
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,35-44 years,,369,24,,,26
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,45-54 years,15,814,60,,,73
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,50-64 years,60,"2,320",190,34,14,229
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,55-64 years,50,"1,836",152,29,13,185
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,65-74 years,90,"2,792",269,42,13,329
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,75-84 years,146,"3,616",362,75,,438
9/16/2020,2/1/2020,9/12/2020,Kentucky,Female,85 years and over,249,"4,486",396,90,12,567
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,Under 1 year,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Kentucky,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,Under 1 year,0,110,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,1-4 years,,24,0,0,0,
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,5-14 years,,43,,0,0,
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,15-24 years,,259,,,0,12
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,18-29 years,10,469,14,,0,21
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,25-34 years,17,536,22,,,31
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,30-49 years,126,"1,568",84,53,,161
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,35-44 years,53,749,46,28,,72
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,45-54 years,143,"1,257",75,57,,166
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,50-64 years,429,"3,542",321,214,,543
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,55-64 years,346,"2,816",271,175,,446
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,65-74 years,594,"4,006",498,309,11,792
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,75-84 years,689,"3,988",514,332,,878
9/16/2020,2/1/2020,9/12/2020,Louisiana,Male,85 years and over,479,"3,072",392,246,,629
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,Under 1 year,,94,,0,,
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,1-4 years,0,11,,0,0,
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,5-14 years,0,20,,0,0,
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,15-24 years,,105,,,,
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,18-29 years,10,188,16,,,18
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,25-34 years,17,254,18,10,0,25
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,30-49 years,89,886,54,37,,110
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,35-44 years,44,417,30,20,,55
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,45-54 years,96,797,65,40,,130
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,50-64 years,322,"2,420",268,165,10,433
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,55-64 years,261,"1,933",219,138,,344
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,65-74 years,393,"2,993",331,197,,534
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,75-84 years,606,"3,927",438,291,,761
9/16/2020,2/1/2020,9/12/2020,Louisiana,Female,85 years and over,659,"5,073",473,301,,839
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Louisiana,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Maine,Male,Under 1 year,0,20,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Maine,Male,1-4 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Maine,Male,5-14 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Maine,Male,15-24 years,0,59,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Maine,Male,18-29 years,0,97,,0,0,
9/16/2020,2/1/2020,9/12/2020,Maine,Male,25-34 years,0,119,,0,0,
9/16/2020,2/1/2020,9/12/2020,Maine,Male,30-49 years,,355,,,,11
9/16/2020,2/1/2020,9/12/2020,Maine,Male,35-44 years,,173,,,,
9/16/2020,2/1/2020,9/12/2020,Maine,Male,45-54 years,,312,,,,11
9/16/2020,2/1/2020,9/12/2020,Maine,Male,50-64 years,,950,34,,,46
