NAME,state,county,Estimate!!Total!!Two or more races!!Two races including Some other race,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!White alone,Estimate!!Total,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Asian alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Black or African American alone
"Itasca County, Minnesota",27,061,71.0,87.0,1070.0,999.0,41967.0,45203.0,2.0,186.0,1663.0,228.0
"Ramsey County, Minnesota",27,123,1790.0,12028.0,23169.0,21379.0,361501.0,541493.0,192.0,77156.0,3723.0,63724.0
"Winona County, Minnesota",27,169,53.0,254.0,794.0,741.0,47580.0,50847.0,9.0,1356.0,173.0,681.0
"Madison County, Mississippi",28,089,84.0,1466.0,698.0,614.0,59091.0,103498.0,7.0,2646.0,204.0,39386.0
"Marion County, Mississippi",28,091,0.0,300.0,72.0,72.0,16463.0,25202.0,12.0,158.0,73.0,8124.0
"Titus County, Texas",48,449,142.0,5635.0,628.0,486.0,22719.0,32730.0,12.0,371.0,370.0,2995.0
"Liberty County, Texas",48,291,106.0,5514.0,1115.0,1009.0,66228.0,81862.0,13.0,500.0,394.0,8098.0
"Wise County, Texas",48,497,453.0,1183.0,1608.0,1155.0,60340.0,64639.0,124.0,281.0,276.0,827.0
"Jim Wells County, Texas",48,249,106.0,951.0,252.0,146.0,39348.0,41192.0,63.0,257.0,55.0,266.0
"Dimmit County, Texas",48,127,4.0,745.0,4.0,0.0,9507.0,10663.0,0.0,402.0,0.0,5.0
"Fort Bend County, Texas",48,157,5361.0,33611.0,18626.0,13265.0,385103.0,739342.0,195.0,147221.0,2259.0,152327.0
"Irion County, Texas",48,235,2.0,199.0,12.0,10.0,1259.0,1524.0,0.0,0.0,0.0,54.0
"Cooke County, Texas",48,097,51.0,267.0,1228.0,1177.0,36468.0,39571.0,17.0,357.0,260.0,974.0
"Dawson County, Texas",48,115,325.0,1458.0,472.0,147.0,10054.0,12964.0,0.0,6.0,159.0,815.0
"Burleson County, Texas",48,051,173.0,798.0,409.0,236.0,14298.0,17863.0,0.0,40.0,59.0,2259.0
"Jefferson County, Texas",48,245,1337.0,5278.0,4434.0,3097.0,148751.0,255210.0,114.0,9461.0,821.0,86351.0
"Oldham County, Texas",48,359,3.0,2.0,72.0,69.0,1902.0,2090.0,0.0,10.0,2.0,102.0
"El Paso County, Texas",48,141,6661.0,99304.0,21033.0,14372.0,672260.0,837654.0,1178.0,10013.0,5142.0,28724.0
"Terrell County, Texas",48,443,0.0,253.0,24.0,24.0,560.0,862.0,0.0,0.0,2.0,23.0
"Uvalde County, Texas",48,463,521.0,1707.0,614.0,93.0,24114.0,27009.0,19.0,279.0,143.0,133.0
"Archer County, Texas",48,009,0.0,95.0,192.0,192.0,8334.0,8789.0,0.0,47.0,40.0,81.0
"Hidalgo County, Texas",48,215,8433.0,76609.0,11040.0,2607.0,747125.0,849389.0,192.0,8157.0,1619.0,4647.0
"Somervell County, Texas",48,425,57.0,474.0,59.0,2.0,7946.0,8743.0,60.0,35.0,115.0,54.0
"Tooele County, Utah",49,045,530.0,3066.0,2033.0,1503.0,58452.0,65185.0,367.0,505.0,418.0,344.0
"Haskell County, Texas",48,207,1.0,279.0,111.0,110.0,5148.0,5809.0,0.0,44.0,33.0,194.0
"Mills County, Texas",48,333,1.0,50.0,9.0,8.0,4818.0,4902.0,0.0,5.0,10.0,10.0
"Newton County, Texas",48,351,0.0,0.0,272.0,272.0,10822.0,14057.0,0.0,166.0,21.0,2776.0
"Summit County, Utah",49,043,207.0,550.0,815.0,608.0,38064.0,40511.0,10.0,667.0,101.0,304.0
"Piute County, Utah",49,031,0.0,4.0,11.0,11.0,1885.0,1904.0,0.0,0.0,2.0,2.0
"Beaver County, Utah",49,001,0.0,159.0,25.0,25.0,6181.0,6443.0,0.0,16.0,62.0,0.0
"Sanpete County, Utah",49,039,65.0,2063.0,554.0,489.0,25880.0,29366.0,152.0,140.0,301.0,276.0
"Utah County, Utah",49,049,1475.0,10810.0,17218.0,15743.0,542398.0,590440.0,4797.0,8789.0,2843.0,3585.0
"Franklin County, Vermont",50,011,25.0,397.0,1300.0,1275.0,46562.0,49025.0,0.0,174.0,300.0,292.0
"Bennington County, Vermont",50,003,30.0,107.0,723.0,693.0,34393.0,35920.0,15.0,390.0,62.0,230.0
"Essex County, Vermont",50,009,0.0,15.0,89.0,89.0,5987.0,6208.0,0.0,35.0,20.0,62.0
"Buena Vista city, Virginia",51,530,0.0,12.0,39.0,39.0,5678.0,6399.0,8.0,275.0,6.0,381.0
"Petersburg city, Virginia",51,730,31.0,706.0,609.0,578.0,5519.0,31827.0,16.0,324.0,79.0,24574.0
"Fairfax city, Virginia",51,600,199.0,969.0,1231.0,1032.0,16461.0,23865.0,0.0,4060.0,45.0,1099.0
"Manassas city, Virginia",51,683,398.0,3626.0,1957.0,1559.0,27484.0,41457.0,84.0,2265.0,283.0,5758.0
"Suffolk city, Virginia",51,800,375.0,868.0,3198.0,2823.0,46065.0,89160.0,14.0,1713.0,170.0,37132.0
"Chesterfield County, Virginia",51,041,824.0,6587.0,10994.0,10170.0,231715.0,339447.0,135.0,11398.0,1072.0,77546.0
"Isle of Wight County, Virginia",51,093,30.0,409.0,1182.0,1152.0,26334.0,36372.0,22.0,371.0,99.0,7955.0
"Franklin city, Virginia",51,620,0.0,90.0,212.0,212.0,3049.0,8211.0,0.0,27.0,0.0,4833.0
"Charlottesville city, Virginia",51,540,92.0,169.0,1395.0,1303.0,33128.0,47042.0,23.0,3362.0,145.0,8820.0
"Henrico County, Virginia",51,087,1013.0,6129.0,10232.0,9219.0,185772.0,325642.0,112.0,26557.0,728.0,96112.0
"King William County, Virginia",51,101,0.0,67.0,562.0,562.0,12764.0,16497.0,0.0,207.0,141.0,2756.0
"Louisa County, Virginia",51,109,3.0,700.0,1257.0,1254.0,27851.0,35380.0,0.0,252.0,83.0,5237.0
"Prince Edward County, Virginia",51,147,71.0,329.0,402.0,331.0,14663.0,22956.0,0.0,148.0,63.0,7351.0
"Richmond County, Virginia",51,159,57.0,202.0,417.0,360.0,5745.0,8878.0,0.0,25.0,37.0,2452.0
"Spotsylvania County, Virginia",51,177,1076.0,5856.0,5243.0,4167.0,95095.0,131412.0,131.0,3343.0,579.0,21165.0
"Clarke County, Virginia",51,043,45.0,208.0,453.0,408.0,12902.0,14365.0,0.0,109.0,6.0,687.0
"Mecklenburg County, Virginia",51,117,56.0,212.0,382.0,326.0,19161.0,30847.0,3.0,34.0,63.0,10992.0
"Augusta County, Virginia",51,015,144.0,243.0,1386.0,1242.0,69281.0,74701.0,38.0,453.0,184.0,3116.0
"Dickenson County, Virginia",51,051,0.0,16.0,106.0,106.0,14721.0,14960.0,0.0,14.0,4.0,99.0
"Loudoun County, Virginia",51,107,3107.0,11895.0,19147.0,16040.0,254787.0,385143.0,361.0,69222.0,996.0,28735.0
"Roanoke County, Virginia",51,161,332.0,495.0,2375.0,2043.0,82547.0,93583.0,17.0,2708.0,91.0,5350.0
"Colonial Heights city, Virginia",51,570,42.0,251.0,563.0,521.0,13483.0,17593.0,21.0,649.0,48.0,2578.0
"Bland County, Virginia",51,021,0.0,4.0,76.0,76.0,6244.0,6447.0,0.0,4.0,0.0,119.0
"Buckingham County, Virginia",51,029,15.0,307.0,304.0,289.0,10415.0,17004.0,0.0,56.0,106.0,5816.0
"Covington city, Virginia",51,580,13.0,0.0,152.0,139.0,4609.0,5582.0,8.0,74.0,0.0,739.0
"Virginia Beach city, Virginia",51,810,1938.0,8935.0,23985.0,22047.0,300103.0,450135.0,295.0,29923.0,1164.0,85730.0
"Galax city, Virginia",51,640,22.0,142.0,47.0,25.0,5819.0,6638.0,0.0,19.0,0.0,611.0
"Westmoreland County, Virginia",51,193,0.0,484.0,423.0,423.0,11902.0,17638.0,1.0,112.0,95.0,4621.0
"Pulaski County, Virginia",51,155,24.0,186.0,699.0,675.0,31514.0,34234.0,0.0,244.0,16.0,1575.0
"Danville city, Virginia",51,590,134.0,482.0,1285.0,1151.0,18794.0,41512.0,30.0,453.0,24.0,20444.0
"Amherst County, Virginia",51,009,10.0,112.0,1199.0,1189.0,24604.0,31882.0,22.0,152.0,123.0,5670.0
"Bath County, Virginia",51,017,37.0,24.0,138.0,101.0,4137.0,4393.0,0.0,16.0,0.0,78.0
"Newport News city, Virginia",51,700,916.0,3729.0,9178.0,8262.0,87026.0,180145.0,366.0,5695.0,426.0,73725.0
"Lynchburg city, Virginia",51,680,433.0,776.0,2018.0,1585.0,52076.0,80131.0,24.0,2178.0,209.0,22850.0
"Martinsville city, Virginia",51,690,15.0,99.0,279.0,264.0,6398.0,13101.0,0.0,33.0,89.0,6203.0
"Essex County, Virginia",51,057,0.0,316.0,138.0,138.0,6129.0,11036.0,0.0,69.0,103.0,4281.0
"Staunton city, Virginia",51,790,34.0,82.0,709.0,675.0,20387.0,24452.0,0.0,350.0,71.0,2853.0
"Radford city, Virginia",51,750,73.0,120.0,599.0,526.0,14903.0,17630.0,10.0,271.0,4.0,1723.0
"Craig County, Virginia",51,045,0.0,1.0,12.0,12.0,5092.0,5113.0,0.0,0.0,0.0,8.0
"Giles County, Virginia",51,071,2.0,1.0,144.0,142.0,16250.0,16814.0,21.0,35.0,0.0,363.0
"Rappahannock County, Virginia",51,157,93.0,85.0,164.0,71.0,6617.0,7332.0,0.0,99.0,13.0,354.0
"Ritchie County, West Virginia",54,085,0.0,58.0,38.0,38.0,9829.0,9932.0,0.0,0.0,0.0,7.0
"Lincoln County, West Virginia",54,043,0.0,0.0,141.0,141.0,20809.0,21078.0,10.0,34.0,0.0,84.0
"Putnam County, West Virginia",54,079,0.0,84.0,765.0,765.0,54622.0,56652.0,33.0,391.0,79.0,678.0
"Boone County, West Virginia",54,005,2.0,4.0,194.0,192.0,22349.0,22817.0,0.0,53.0,8.0,209.0
"Marshall County, West Virginia",54,051,45.0,33.0,213.0,168.0,30846.0,31645.0,34.0,78.0,131.0,310.0
"Tucker County, West Virginia",54,093,0.0,25.0,85.0,85.0,6854.0,7027.0,0.0,30.0,0.0,33.0
"Pleasants County, West Virginia",54,073,0.0,0.0,72.0,72.0,7419.0,7507.0,0.0,0.0,0.0,16.0
"Roane County, West Virginia",54,087,0.0,43.0,231.0,231.0,13878.0,14205.0,0.0,14.0,27.0,12.0
"Wood County, West Virginia",54,107,218.0,115.0,1437.0,1219.0,82266.0,85556.0,32.0,421.0,142.0,1143.0
"Mason County, West Virginia",54,053,76.0,25.0,501.0,425.0,26241.0,26939.0,0.0,40.0,22.0,110.0
"Jefferson County, West Virginia",54,037,291.0,1142.0,1627.0,1336.0,48887.0,56179.0,0.0,827.0,124.0,3572.0
"Logan County, West Virginia",54,045,0.0,24.0,386.0,386.0,32644.0,33801.0,6.0,34.0,129.0,578.0
"Jefferson County, Washington",53,031,33.0,158.0,1016.0,983.0,28181.0,30856.0,80.0,532.0,639.0,250.0
"Pacific County, Washington",53,049,22.0,599.0,956.0,934.0,18839.0,21281.0,126.0,387.0,302.0,72.0
"Skamania County, Washington",53,059,0.0,147.0,178.0,178.0,10799.0,11620.0,18.0,129.0,246.0,103.0
"Clallam County, Washington",53,009,212.0,702.0,2705.0,2493.0,65566.0,74487.0,47.0,1120.0,3515.0,832.0
"Klickitat County, Washington",53,039,17.0,465.0,430.0,413.0,19614.0,21396.0,3.0,165.0,672.0,47.0
"Douglas County, Washington",53,017,535.0,9911.0,1578.0,1043.0,28998.0,41371.0,85.0,315.0,324.0,160.0
"Pierce County, Washington",53,053,4015.0,25083.0,69086.0,65071.0,631465.0,859840.0,12396.0,53544.0,10829.0,57437.0
"Walla Walla County, Washington",53,071,378.0,4278.0,2502.0,2124.0,50823.0,60236.0,90.0,994.0,443.0,1106.0
"Snohomish County, Washington",53,061,5127.0,22008.0,48690.0,43563.0,600480.0,786620.0,4251.0,81648.0,6920.0,22623.0
"Thurston County, Washington",53,067,1103.0,3517.0,16100.0,14997.0,224549.0,274684.0,2378.0,15798.0,3939.0,8403.0
"Clark County, Washington",53,011,1807.0,13758.0,23454.0,21647.0,393116.0,465384.0,3632.0,20853.0,2726.0,7845.0
"Adams County, Washington",53,001,45.0,4571.0,336.0,291.0,13481.0,19452.0,0.0,199.0,715.0,150.0
"Skagit County, Washington",53,057,840.0,11383.0,4813.0,3973.0,101768.0,123907.0,307.0,2446.0,2216.0,974.0
"Lincoln County, Washington",53,043,5.0,66.0,252.0,247.0,9799.0,10435.0,32.0,72.0,138.0,76.0
"Taylor County, Wisconsin",55,119,0.0,91.0,241.0,241.0,19841.0,20356.0,0.0,32.0,50.0,101.0
"Price County, Wisconsin",55,099,2.0,35.0,114.0,112.0,12913.0,13490.0,110.0,82.0,134.0,102.0
"Milwaukee County, Wisconsin",55,079,5329.0,51945.0,33498.0,28169.0,569806.0,954209.0,310.0,40777.0,5552.0,252321.0
"Dunn County, Wisconsin",55,033,113.0,128.0,952.0,839.0,41816.0,44498.0,0.0,1204.0,107.0,291.0
"Green County, Wisconsin",55,045,12.0,399.0,488.0,476.0,35466.0,36864.0,16.0,235.0,94.0,166.0
"Shawano County, Wisconsin",55,115,30.0,57.0,1060.0,1030.0,36549.0,41009.0,9.0,120.0,3060.0,154.0
"Menominee County, Wisconsin",55,078,0.0,0.0,155.0,155.0,468.0,4579.0,0.0,21.0,3914.0,21.0
"Buffalo County, Wisconsin",55,011,3.0,117.0,159.0,156.0,12774.0,13167.0,0.0,15.0,28.0,74.0
"La Crosse County, Wisconsin",55,063,132.0,732.0,2399.0,2267.0,107388.0,117850.0,36.0,5187.0,397.0,1711.0
"Eau Claire County, Wisconsin",55,035,202.0,127.0,2246.0,2044.0,94925.0,102991.0,369.0,3894.0,492.0,938.0
"Polk County, Wisconsin",55,095,31.0,230.0,473.0,442.0,41757.0,43349.0,14.0,210.0,471.0,194.0
"Waukesha County, Wisconsin",55,133,535.0,3282.0,5993.0,5458.0,368232.0,398879.0,141.0,13845.0,986.0,6400.0
"Vilas County, Wisconsin",55,125,1.0,57.0,745.0,744.0,18733.0,21593.0,9.0,124.0,1844.0,81.0
"Juneau County, Wisconsin",55,057,10.0,141.0,273.0,263.0,24829.0,26419.0,5.0,141.0,410.0,620.0
"Washington County, Wisconsin",55,131,538.0,973.0,2167.0,1629.0,127736.0,134535.0,30.0,1688.0,294.0,1647.0
"Dane County, Wisconsin",55,025,2060.0,9429.0,16831.0,14771.0,443347.0,529843.0,178.0,31169.0,1555.0,27334.0
"Fond du Lac County, Wisconsin",55,039,203.0,1731.0,1953.0,1750.0,95324.0,102315.0,11.0,1367.0,513.0,1416.0
"Pepin County, Wisconsin",55,091,1.0,15.0,60.0,59.0,7119.0,7262.0,6.0,24.0,10.0,28.0
"Portage County, Wisconsin",55,097,99.0,971.0,1088.0,989.0,65756.0,70599.0,11.0,1999.0,262.0,512.0
"Lincoln County, Wyoming",56,023,65.0,113.0,494.0,429.0,18226.0,19011.0,4.0,56.0,100.0,18.0
"Laramie County, Wyoming",56,021,539.0,2879.0,3512.0,2973.0,86891.0,97692.0,202.0,1090.0,707.0,2411.0
"Juana D�az Municipio, Puerto Rico",72,075,243.0,5947.0,15070.0,14827.0,21730.0,46960.0,0.0,90.0,34.0,4089.0
"Santa Isabel Municipio, Puerto Rico",72,133,25.0,1728.0,61.0,36.0,12470.0,22066.0,0.0,0.0,45.0,7762.0
"Guayama Municipio, Puerto Rico",72,057,87.0,4951.0,496.0,409.0,30198.0,41706.0,150.0,99.0,0.0,5812.0
"Gurabo Municipio, Puerto Rico",72,063,112.0,8809.0,917.0,805.0,31350.0,46894.0,0.0,61.0,18.0,5739.0
"Lo�za Municipio, Puerto Rico",72,087,78.0,9872.0,124.0,46.0,6284.0,26463.0,0.0,71.0,40.0,10072.0
"Aguadilla Municipio, Puerto Rico",72,005,315.0,8789.0,1172.0,857.0,41694.0,54166.0,10.0,387.0,115.0,1999.0
"Las Mar�as Municipio, Puerto Rico",72,083,17.0,4012.0,66.0,49.0,4430.0,8599.0,0.0,0.0,0.0,91.0
"Villalba Municipio, Puerto Rico",72,149,144.0,3452.0,6601.0,6457.0,12293.0,22993.0,0.0,0.0,0.0,647.0
"Carolina Municipio, Puerto Rico",72,031,1660.0,21012.0,13606.0,11946.0,84705.0,157453.0,16.0,450.0,2945.0,34719.0
"Corozal Municipio, Puerto Rico",72,047,131.0,3424.0,1315.0,1184.0,27208.0,34165.0,0.0,0.0,0.0,2218.0
"Ponce Municipio, Puerto Rico",72,113,587.0,11566.0,12851.0,12264.0,111378.0,143926.0,0.0,95.0,202.0,7834.0
"Toa Baja Municipio, Puerto Rico",72,137,282.0,9418.0,7907.0,7625.0,53742.0,79726.0,0.0,0.0,20.0,8639.0
"Aguada Municipio, Puerto Rico",72,003,91.0,1540.0,5303.0,5212.0,30730.0,38643.0,0.0,0.0,0.0,1070.0
"Ciales Municipio, Puerto Rico",72,039,75.0,136.0,305.0,230.0,16305.0,16912.0,0.0,0.0,0.0,166.0
"Cidra Municipio, Puerto Rico",72,041,8.0,2279.0,992.0,984.0,33244.0,40343.0,0.0,68.0,121.0,3639.0
"Luquillo Municipio, Puerto Rico",72,089,68.0,5268.0,358.0,290.0,10968.0,18547.0,0.0,63.0,20.0,1870.0
"San Lorenzo Municipio, Puerto Rico",72,129,132.0,644.0,1449.0,1317.0,29306.0,37873.0,0.0,46.0,45.0,6383.0
"Jayuya Municipio, Puerto Rico",72,073,77.0,3904.0,399.0,322.0,10248.0,14906.0,0.0,5.0,47.0,303.0
"R�o Grande Municipio, Puerto Rico",72,119,245.0,15805.0,998.0,753.0,26952.0,50550.0,0.0,152.0,73.0,6570.0
"Vega Baja Municipio, Puerto Rico",72,145,218.0,4341.0,585.0,367.0,45626.0,53371.0,26.0,0.0,68.0,2725.0
"Guayanilla Municipio, Puerto Rico",72,059,22.0,3534.0,244.0,222.0,14608.0,19008.0,0.0,123.0,131.0,368.0
"Lajas Municipio, Puerto Rico",72,079,361.0,15379.0,392.0,31.0,7203.0,23315.0,0.0,0.0,11.0,330.0
"Marion County, Alabama",01,093,1.0,300.0,511.0,510.0,27886.0,29965.0,0.0,49.0,122.0,1097.0
"Jefferson County, Alabama",01,073,1337.0,12398.0,11172.0,9835.0,342591.0,659892.0,215.0,10250.0,1564.0,281702.0
"Franklin County, Alabama",01,059,21.0,2767.0,313.0,292.0,26467.0,31542.0,0.0,119.0,488.0,1388.0
"Cherokee County, Alabama",01,019,0.0,90.0,208.0,208.0,23997.0,25853.0,0.0,55.0,236.0,1267.0
"Dallas County, Alabama",01,047,33.0,25.0,280.0,247.0,11257.0,40029.0,23.0,224.0,10.0,28210.0
"Macon County, Alabama",01,087,0.0,107.0,69.0,69.0,3025.0,19054.0,0.0,50.0,63.0,15740.0
"Shelby County, Alabama",01,117,305.0,7515.0,3929.0,3624.0,169598.0,211261.0,47.0,4249.0,468.0,25455.0
"Baldwin County, Alabama",01,003,603.0,2034.0,3572.0,2969.0,179526.0,208107.0,9.0,1680.0,1522.0,19764.0
"Houston County, Alabama",01,069,175.0,522.0,2169.0,1994.0,72387.0,104352.0,18.0,873.0,305.0,28078.0
"Tuscaloosa County, Alabama",01,125,145.0,1983.0,2325.0,2180.0,132877.0,206213.0,73.0,3302.0,393.0,65260.0
"Clay County, Alabama",01,027,7.0,26.0,96.0,89.0,11106.0,13378.0,0.0,18.0,155.0,1977.0
"Pike County, Alabama",01,109,29.0,23.0,796.0,767.0,18960.0,33403.0,3.0,715.0,209.0,12697.0
"Coosa County, Alabama",01,037,0.0,0.0,0.0,0.0,7133.0,10855.0,0.0,0.0,9.0,3713.0
"Hale County, Alabama",01,065,40.0,101.0,72.0,32.0,5898.0,14887.0,0.0,39.0,29.0,8748.0
"Escambia County, Alabama",01,053,26.0,232.0,437.0,411.0,23095.0,37328.0,72.0,135.0,1437.0,11920.0
"Butler County, Alabama",01,013,9.0,0.0,323.0,314.0,10414.0,20025.0,0.0,231.0,2.0,9055.0
"Perry County, Alabama",01,105,0.0,33.0,0.0,0.0,2838.0,9486.0,0.0,21.0,6.0,6588.0
"Conecuh County, Alabama",01,035,0.0,2.0,98.0,98.0,6369.0,12514.0,0.0,18.0,56.0,5971.0
"Bibb County, Alabama",01,007,0.0,9.0,187.0,187.0,17268.0,22527.0,0.0,37.0,8.0,5018.0
"Chambers County, Alabama",01,017,0.0,175.0,347.0,347.0,19483.0,33826.0,0.0,405.0,97.0,13319.0
"Fayette County, Alabama",01,057,0.0,0.0,398.0,398.0,14095.0,16585.0,6.0,108.0,0.0,1978.0
"Blount County, Alabama",01,009,31.0,437.0,935.0,904.0,55054.0,57645.0,18.0,198.0,141.0,862.0
"Autauga County, Alabama",01,001,18.0,409.0,1030.0,1012.0,42437.0,55200.0,32.0,568.0,159.0,10565.0
"Geneva County, Alabama",01,061,68.0,243.0,525.0,457.0,22871.0,26491.0,4.0,109.0,210.0,2529.0
"Valdez-Cordova Census Area, Alaska",02,261,24.0,125.0,776.0,752.0,6803.0,9301.0,57.0,327.0,1188.0,25.0
"Hoonah-Angoon Census Area, Alaska",02,105,0.0,24.0,185.0,185.0,971.0,2132.0,3.0,60.0,821.0,68.0
"Wrangell City and Borough, Alaska",02,275,0.0,30.0,208.0,208.0,1670.0,2484.0,9.0,69.0,496.0,2.0
"Pima County, Arizona",04,019,11600.0,88847.0,48165.0,36565.0,777452.0,1019722.0,1610.0,29475.0,38200.0,35973.0
"Gila County, Arizona",04,007,166.0,1133.0,1787.0,1621.0,41095.0,53400.0,20.0,486.0,8562.0,317.0
"Cochise County, Arizona",04,003,1041.0,4096.0,5738.0,4697.0,107243.0,126279.0,464.0,2362.0,1642.0,4734.0
"Apache County, Arizona",04,001,151.0,497.0,1138.0,987.0,16362.0,71522.0,18.0,286.0,52708.0,513.0
"Yavapai County, Arizona",04,025,356.0,6477.0,5572.0,5216.0,205647.0,224645.0,226.0,2247.0,3202.0,1274.0
"Navajo County, Arizona",04,017,286.0,3459.0,3248.0,2962.0,51934.0,108705.0,87.0,685.0,48328.0,964.0
"Pulaski County, Arkansas",05,119,1872.0,6810.0,10971.0,9099.0,222468.0,393463.0,170.0,8592.0,944.0,143508.0
"Clay County, Arkansas",05,021,6.0,232.0,227.0,221.0,14443.0,15061.0,0.0,0.0,66.0,93.0
"Dallas County, Arkansas",05,039,0.0,58.0,86.0,86.0,4123.0,7432.0,15.0,26.0,31.0,3093.0
"Randolph County, Arkansas",05,121,12.0,107.0,357.0,345.0,16854.0,17603.0,0.0,0.0,84.0,201.0
"Boone County, Arkansas",05,009,17.0,11.0,760.0,743.0,35843.0,37288.0,36.0,192.0,290.0,156.0
"Independence County, Arkansas",05,063,163.0,1007.0,993.0,830.0,34252.0,37264.0,7.0,236.0,76.0,693.0
"Grant County, Arkansas",05,053,42.0,16.0,305.0,263.0,17182.0,18086.0,0.0,9.0,33.0,541.0
"Faulkner County, Arkansas",05,045,263.0,2496.0,3074.0,2811.0,100652.0,122416.0,163.0,1634.0,493.0,13904.0
"Marion County, Arkansas",05,089,0.0,18.0,212.0,212.0,15805.0,16438.0,0.0,71.0,187.0,145.0
"Searcy County, Arkansas",05,129,37.0,28.0,121.0,84.0,7421.0,7923.0,0.0,96.0,203.0,54.0
"Crawford County, Arkansas",05,033,74.0,1871.0,2010.0,1936.0,55196.0,62472.0,9.0,1171.0,1237.0,978.0
"Hot Spring County, Arkansas",05,059,61.0,439.0,530.0,469.0,28346.0,33520.0,10.0,141.0,22.0,4032.0
"Madison County, Arkansas",05,087,34.0,89.0,363.0,329.0,15105.0,16076.0,59.0,162.0,211.0,87.0
"Howard County, Arkansas",05,061,0.0,1305.0,284.0,284.0,8964.0,13389.0,14.0,34.0,27.0,2761.0
"Mississippi County, Arkansas",05,093,29.0,861.0,748.0,719.0,25863.0,42831.0,25.0,236.0,28.0,15070.0
"Union County, Arkansas",05,139,25.0,232.0,425.0,400.0,25485.0,39732.0,0.0,227.0,391.0,12972.0
"Geauga County, Ohio",39,055,159.0,114.0,1070.0,911.0,90888.0,93961.0,0.0,565.0,167.0,1157.0
"Monroe County, Ohio",39,111,7.0,2.0,146.0,139.0,13841.0,14090.0,0.0,57.0,5.0,39.0
"Lake County, Ohio",39,085,256.0,2186.0,5332.0,5076.0,209948.0,230052.0,46.0,2816.0,334.0,9390.0
"Clark County, Ohio",39,023,84.0,865.0,5208.0,5124.0,117294.0,135198.0,96.0,836.0,258.0,10641.0
"Holmes County, Ohio",39,075,114.0,44.0,530.0,416.0,43138.0,43859.0,0.0,85.0,14.0,48.0
"Warren County, Ohio",39,165,120.0,1656.0,4031.0,3911.0,200647.0,226564.0,0.0,12340.0,208.0,7682.0
"Ashland County, Ohio",39,005,45.0,230.0,740.0,695.0,51672.0,53477.0,0.0,396.0,3.0,436.0
"Seminole County, Oklahoma",40,133,111.0,128.0,1662.0,1551.0,17080.0,25071.0,1.0,88.0,4920.0,1192.0
"Blaine County, Oklahoma",40,011,39.0,386.0,519.0,480.0,7616.0,9634.0,0.0,2.0,712.0,399.0
"Coal County, Oklahoma",40,029,49.0,107.0,869.0,820.0,3941.0,5618.0,0.0,11.0,683.0,7.0
"Kingfisher County, Oklahoma",40,073,67.0,1379.0,591.0,524.0,12919.0,15618.0,0.0,35.0,522.0,172.0
"Marshall County, Oklahoma",40,095,178.0,1859.0,1518.0,1340.0,11494.0,16376.0,0.0,37.0,1227.0,241.0
"Nowata County, Oklahoma",40,105,29.0,149.0,1235.0,1206.0,7060.0,10383.0,16.0,30.0,1636.0,257.0
"Rogers County, Oklahoma",40,131,167.0,1077.0,8182.0,8015.0,67941.0,90814.0,63.0,1264.0,11304.0,983.0
"Alfalfa County, Oklahoma",40,003,39.0,170.0,819.0,780.0,4546.0,5857.0,0.0,0.0,131.0,191.0
"Cleveland County, Oklahoma",40,027,1060.0,4269.0,20399.0,19339.0,215798.0,276733.0,170.0,12298.0,10939.0,12860.0
"Atoka County, Oklahoma",40,005,17.0,131.0,1562.0,1545.0,10104.0,13874.0,8.0,86.0,1447.0,536.0
"Dewey County, Oklahoma",40,043,8.0,8.0,385.0,377.0,4380.0,4918.0,0.0,32.0,105.0,8.0
"Logan County, Oklahoma",40,083,119.0,157.0,1931.0,1812.0,38149.0,46044.0,20.0,162.0,1680.0,3945.0
"Washington County, Oklahoma",40,147,183.0,568.0,3035.0,2852.0,40278.0,52001.0,20.0,1076.0,5665.0,1359.0
"Haskell County, Oklahoma",40,061,57.0,85.0,1638.0,1581.0,9287.0,12704.0,2.0,88.0,1498.0,106.0
"Okmulgee County, Oklahoma",40,111,115.0,198.0,4652.0,4537.0,25309.0,38889.0,0.0,130.0,5286.0,3314.0
"Jefferson County, Oklahoma",40,067,16.0,208.0,263.0,247.0,5270.0,6223.0,0.0,2.0,400.0,80.0
"Garvin County, Oklahoma",40,049,33.0,147.0,2209.0,2176.0,23202.0,27823.0,0.0,93.0,1495.0,677.0
"Pontotoc County, Oklahoma",40,123,91.0,313.0,6279.0,6188.0,26590.0,38358.0,30.0,296.0,4037.0,813.0
"Hughes County, Oklahoma",40,063,22.0,34.0,773.0,751.0,9079.0,13460.0,0.0,18.0,2752.0,804.0
"Comanche County, Oklahoma",40,031,804.0,2902.0,11549.0,10745.0,77455.0,122561.0,648.0,2964.0,6389.0,20654.0
"Pawnee County, Oklahoma",40,117,13.0,12.0,1264.0,1251.0,12939.0,16428.0,7.0,68.0,1983.0,155.0
"Douglas County, Oregon",41,019,188.0,702.0,4312.0,4124.0,100217.0,108323.0,87.0,1138.0,1396.0,471.0
"Polk County, Oregon",41,053,297.0,2293.0,3116.0,2819.0,71640.0,81427.0,372.0,1542.0,1571.0,893.0
